Company,Job Title,Description,Time Posted,Location,image_url
Puentte Estudio,Motion Designer,Motion Designer,22 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Digital Champ,Graphic / UI UX & Video Editor,Create impactful visuals with innovation at Digital Champ. Apply now!,25 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
"O2, INC",Motion Graphics Designer,Remote working Motion Graphics Designer Wanted,25 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
stellenmanufaktur,Webdesigner und Webprogrammierer gesucht (m/w/d),"Wir sind ein aufstrebendes Unternehmen, das marketingorientierte Internetlösungen in ...",a month ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
stellenmanufaktur,Web Developer gesucht (m/w/d),"Jede geniale Idee braucht jemanden, der sie umsetzt.",a month ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Addiction Foods Pte. Ltd.,Packaging & Graphics Designer,We are looking for a highly creative and detail-oriented Packaging & Graphic Designer,a month ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Prime Scale Creative,Senior Graphic Designer,Seeking senior-level graphic designer to lead branding and design projects.,a month ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Metadome.ai,UI/UX Designer,We are looking for a product designer from the home decor industry,4 hours ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
FID World,Graphic Designer,Full time remote graphic designer with $400 monthly salary,4 hours ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Sphere Rocket VA,Ads Specialist,We are looking for Ads Specialist,6 hours ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
